年月,地區,信用卡產業別,教育程度類別,信用卡交易筆數,信用卡交易金額[新臺幣]
201610,臺灣,住,碩士,245017,1156506965
201610,臺灣,住,大學,761893,3523928787
201610,臺灣,住,專科,290537,1388949507
201610,臺灣,住,高中高職,321884,1560387559
201610,臺灣,住,其他,356448,1752292042
201610,臺灣,行,博士,158257,175138421
201610,臺灣,行,碩士,1479477,1543768671
201610,臺灣,行,大學,4926194,4550684332
201610,臺灣,行,專科,2173693,1981794249
201610,臺灣,行,高中高職,2964610,2757801322
201610,臺灣,行,其他,3043456,2837804935
201610,臺灣,文教康樂,博士,43567,265713145
201610,臺灣,文教康樂,碩士,590630,2579135157
201610,臺灣,文教康樂,大學,2082885,7978698470
201610,臺灣,文教康樂,專科,595144,2958198383
201610,臺灣,文教康樂,高中高職,675604,3458309596
201610,臺灣,文教康樂,其他,840349,3833164320
201610,臺灣,百貨,博士,60755,194335321
201610,臺灣,百貨,碩士,783448,2467936672
201610,臺灣,百貨,大學,2867209,9170965328
201610,臺灣,百貨,專科,1042544,3431260041
201610,臺灣,百貨,高中高職,1160704,4165147055
201610,臺灣,百貨,其他,1405257,4612825160
201610,臺灣,其他,博士,169598,588437982
201610,臺灣,其他,碩士,1895670,5572946003
201610,臺灣,其他,大學,7310129,21419997383
201610,臺灣,其他,專科,2914091,9781804548
201610,臺灣,其他,高中高職,3855683,13577699782
201610,臺灣,其他,其他,3132223,11002329507
201611,臺灣,食,博士,169748,181862853
201611,臺灣,食,碩士,1667678,1765899736
201611,臺灣,食,大學,5393432,5688778357
201611,臺灣,食,專科,2559229,2521082462
201611,臺灣,食,高中高職,2909440,3043771795
201611,臺灣,食,其他,2926282,3182511452
201611,臺灣,衣,博士,10858,32124201
201611,臺灣,衣,碩士,175839,479315349
201611,臺灣,衣,大學,776842,2082523903
201611,臺灣,衣,專科,304081,874861991
201611,臺灣,衣,高中高職,383304,1151677518
201611,臺灣,衣,其他,382885,1140415881
201611,臺灣,住,博士,23560,120721856
201611,臺灣,住,碩士,254746,1280713381
201611,臺灣,住,大學,803885,3904003201
201611,臺灣,住,專科,318756,1575155290
201611,臺灣,住,高中高職,347428,1761277479
201611,臺灣,住,其他,395194,2185911772
201611,臺灣,行,博士,159733,174485472
201611,臺灣,行,碩士,1464388,1512346996
201611,臺灣,行,大學,4977211,4516952141
201611,臺灣,行,專科,2287419,2056484019
201611,臺灣,行,高中高職,3079789,2850137735
201611,臺灣,行,其他,3181832,2989576200
201611,臺灣,文教康樂,博士,43008,293266104
201611,臺灣,文教康樂,碩士,566663,2704513073
201611,臺灣,文教康樂,大學,1995447,8142974834
201611,臺灣,文教康樂,專科,601603,3018435856
201611,臺灣,文教康樂,高中高職,672371,3444914116
201611,臺灣,文教康樂,其他,870845,4599931671
201611,臺灣,百貨,博士,60947,199621252
201611,臺灣,百貨,碩士,742001,2409036581
201611,臺灣,百貨,大學,2782106,8929846715
201611,臺灣,百貨,專科,1053756,3479908193
201611,臺灣,百貨,高中高職,1186677,4218731660
201611,臺灣,百貨,其他,1460579,5388576571
201611,臺灣,其他,博士,168091,655180555
201611,臺灣,其他,碩士,2048925,6233157560
201611,臺灣,其他,大學,7909841,23335000455
201611,臺灣,其他,專科,3281248,11118438217
201611,臺灣,其他,高中高職,4166747,14619702626
201611,臺灣,其他,其他,3388161,11468396634
201612,臺灣,食,博士,184593,210872563
201612,臺灣,食,碩士,1838176,2084044767
201612,臺灣,食,大學,5890362,6569263607
201612,臺灣,食,專科,2746832,2873831605
201612,臺灣,食,高中高職,3093977,3397027179
201612,臺灣,食,其他,3147015,3616137338
201612,臺灣,衣,博士,14198,43186125
201612,臺灣,衣,碩士,230182,627431463
201612,臺灣,衣,大學,984517,2572809149
201612,臺灣,衣,專科,382365,1055034345
201612,臺灣,衣,高中高職,478788,1380767221
201612,臺灣,衣,其他,483283,1406123010
201612,臺灣,住,博士,24841,118296499
201612,臺灣,住,碩士,265865,1300976471
201612,臺灣,住,大學,823985,3887136367
201612,臺灣,住,專科,321834,1559674542
201612,臺灣,住,高中高職,356539,1745261454
201612,臺灣,住,其他,413854,2225445923
201612,臺灣,行,博士,165478,184561456
201612,臺灣,行,碩士,1569208,1658209000
201612,臺灣,行,大學,5289418,4973784935
201612,臺灣,行,專科,2375528,2234931873
201612,臺灣,行,高中高職,3197471,3091446536
201612,臺灣,行,其他,3344675,3275079589
201612,臺灣,文教康樂,博士,46143,271501736
201612,臺灣,文教康樂,碩士,610552,2664453922
201612,臺灣,文教康樂,大學,2106781,7918761422
201612,臺灣,文教康樂,專科,629858,2862612076
201612,臺灣,文教康樂,高中高職,695951,3168526604
201612,臺灣,文教康樂,其他,911278,4266334545
201612,臺灣,百貨,博士,63207,177457177
201612,臺灣,百貨,碩士,795322,2164171808
201612,臺灣,百貨,大學,2862317,7617889708
201612,臺灣,百貨,專科,1055564,2908250210
201612,臺灣,百貨,高中高職,1147401,3394697819
201612,臺灣,百貨,其他,1424146,4174935627
201612,臺灣,其他,博士,167752,688639503
201612,臺灣,其他,碩士,2113030,7202736245
201612,臺灣,其他,大學,7924207,25904907445
201612,臺灣,其他,專科,3297977,12891558355
201612,臺灣,其他,高中高職,4124636,15853379921
201612,臺灣,其他,其他,3368894,12569687180
201701,臺灣,食,博士,175749,241210440
201701,臺灣,食,碩士,1734697,2305145801
201701,臺灣,食,大學,5524658,7520898063
201701,臺灣,食,專科,2574924,3516229780
201701,臺灣,食,高中高職,2979229,4256380126
201701,臺灣,食,其他,2863294,4255627200
201701,臺灣,衣,博士,13748,39553628
201701,臺灣,衣,碩士,208539,543482201
201701,臺灣,衣,大學,925505,2391817065
201701,臺灣,衣,專科,391413,1076387548
201701,臺灣,衣,高中高職,506581,1468078707
201701,臺灣,衣,其他,484125,1408140279
201701,臺灣,住,博士,26946,137893303
201701,臺灣,住,碩士,267040,1334932820
201701,臺灣,住,大學,831756,4186862563
201701,臺灣,住,專科,338233,1766419680
201701,臺灣,住,高中高職,379197,1993642964
201701,臺灣,住,其他,425794,2411246433
201701,臺灣,行,博士,142400,166052347
201701,臺灣,行,碩士,1374319,1486259811
201701,臺灣,行,大學,4590537,4473272363
201701,臺灣,行,專科,1987854,1945749616
201701,臺灣,行,高中高職,2726468,2705036786
201701,臺灣,行,其他,2818883,2848986068
201701,臺灣,文教康樂,博士,45216,303552360
201701,臺灣,文教康樂,碩士,585179,2957525305
201701,臺灣,文教康樂,大學,2044476,8506301823
201701,臺灣,文教康樂,專科,617449,3213338348
201701,臺灣,文教康樂,高中高職,703098,3437395554
201701,臺灣,文教康樂,其他,880462,4365962928
201701,臺灣,百貨,博士,63422,181062812
201701,臺灣,百貨,碩士,756468,2094745535
201701,臺灣,百貨,大學,2711204,7535834550
201701,臺灣,百貨,專科,1023002,2941925305
201701,臺灣,百貨,高中高職,1120612,3479958678
201701,臺灣,百貨,其他,1342871,4105622679
201701,臺灣,其他,博士,147875,618827848
201701,臺灣,其他,碩士,1778250,6099292255
201701,臺灣,其他,大學,7090443,22358009754
201701,臺灣,其他,專科,2860378,10595183584
201701,臺灣,其他,高中高職,3651793,13511577150
201701,臺灣,其他,其他,2823836,10035185500
201702,臺灣,食,博士,154091,173466937
201702,臺灣,食,碩士,1550037,1737519126
201702,臺灣,食,大學,4811273,5522091413
201702,臺灣,食,專科,2139733,2352486889
201702,臺灣,食,高中高職,2420453,2858708728
201702,臺灣,食,其他,2428575,2993209091
201702,臺灣,衣,博士,10149,28040596
201702,臺灣,衣,碩士,159610,406151144
201702,臺灣,衣,大學,685610,1697531559
201702,臺灣,衣,專科,265250,691889536
201702,臺灣,衣,高中高職,336623,931501807
201702,臺灣,衣,其他,353206,982250530
201702,臺灣,住,博士,23433,99076072
201702,臺灣,住,碩士,243981,1054699437
201702,臺灣,住,大學,751379,3172969877
201702,臺灣,住,專科,289675,1250593821
201702,臺灣,住,高中高職,321728,1441785670
201702,臺灣,住,其他,379916,1804782944
201702,臺灣,行,博士,127658,151936742
201702,臺灣,行,碩士,1261636,1416118538
201702,臺灣,行,大學,4232632,4264833035
201702,臺灣,行,專科,1789961,1775458569
201702,臺灣,行,高中高職,2488615,2508050221
201702,臺灣,行,其他,2578981,2665889891
201702,臺灣,文教康樂,博士,47115,336201668
201702,臺灣,文教康樂,碩士,601517,3111998486
201702,臺灣,文教康樂,大學,2109106,9755855308
201702,臺灣,文教康樂,專科,645425,4218805819
201702,臺灣,文教康樂,高中高職,724373,4469762507
201702,臺灣,文教康樂,其他,930560,5098393214
201702,臺灣,百貨,博士,50587,134428518
201702,臺灣,百貨,碩士,624601,1609257560
201702,臺灣,百貨,大學,2223727,5794039054
201702,臺灣,百貨,專科,798672,2121039114
201702,臺灣,百貨,高中高職,884121,2577247251
201702,臺灣,百貨,其他,1102281,3122257375
201702,臺灣,其他,博士,132955,502443748
201702,臺灣,其他,碩士,1624655,4826093931
201702,臺灣,其他,大學,6409154,18029662199
201702,臺灣,其他,專科,2583610,8587865596
201702,臺灣,其他,高中高職,3380837,10892774380
201702,臺灣,其他,其他,2641730,8146896874
201703,臺灣,食,博士,162156,175513100
201703,臺灣,食,碩士,1643550,1754005944
201703,臺灣,食,大學,5294445,5777814159
201703,臺灣,食,專科,2383355,2480482017
201703,臺灣,食,高中高職,2739413,3119492155
201703,臺灣,食,其他,2853516,3246677051
201703,臺灣,衣,博士,9635,28049499
201703,臺灣,衣,碩士,156369,397311841
201703,臺灣,衣,大學,701138,1738603923
201703,臺灣,衣,專科,265874,711276191
201703,臺灣,衣,高中高職,341634,956511444
201703,臺灣,衣,其他,357928,988528083
201703,臺灣,住,博士,20585,83395599
201703,臺灣,住,碩士,218892,1003379173
201703,臺灣,住,大學,703506,3140587124
201703,臺灣,住,專科,272238,1244848732
201703,臺灣,住,高中高職,307937,1451163324
201703,臺灣,住,其他,354981,1747676038
201703,臺灣,行,博士,156304,182270645
201703,臺灣,行,碩士,1490771,1635843575
201703,臺灣,行,大學,4972874,4906077208
201703,臺灣,行,專科,2095884,2051996235
201703,臺灣,行,高中高職,2881974,2882934370
201703,臺灣,行,其他,3091869,3118758832
201703,臺灣,文教康樂,博士,44987,332872585
201703,臺灣,文教康樂,碩士,593682,3001347840
201703,臺灣,文教康樂,大學,2137443,9197466083
201703,臺灣,文教康樂,專科,622658,3360502247
201703,臺灣,文教康樂,高中高職,717879,3992132141
201703,臺灣,文教康樂,其他,957185,5130561661
201703,臺灣,百貨,博士,47798,126897780
201703,臺灣,百貨,碩士,589762,1551794516
201703,臺灣,百貨,大學,2166128,5834171841
201703,臺灣,百貨,專科,777740,2180308292
201703,臺灣,百貨,高中高職,875089,2678799670
201703,臺灣,百貨,其他,1076734,3142552304
201703,臺灣,其他,博士,164088,630655694
201703,臺灣,其他,碩士,2084354,6284985220
201703,臺灣,其他,大學,8212425,23499648222
201703,臺灣,其他,專科,3277929,11143265889
201703,臺灣,其他,高中高職,4321868,14580586677
201703,臺灣,其他,其他,3545870,10719009578
201704,臺灣,食,博士,175759,186675890
201704,臺灣,食,碩士,1771308,1907625385
201704,臺灣,食,大學,5709995,6142957064
201704,臺灣,食,專科,2617843,2677806409
201704,臺灣,食,高中高職,2991925,3350887807
201704,臺灣,食,其他,3115587,3464798701
201704,臺灣,衣,博士,11375,30379089
201704,臺灣,衣,碩士,184649,447661540
201704,臺灣,衣,大學,799198,1884621610
201704,臺灣,衣,專科,306258,765540501
201704,臺灣,衣,高中高職,389854,1029356452
201704,臺灣,衣,其他,402747,1054872801
201704,臺灣,住,博士,22308,103892626
201704,臺灣,住,碩士,242354,1161867083
201704,臺灣,住,大學,763285,3741291882
201704,臺灣,住,專科,295319,1486553306
201704,臺灣,住,高中高職,334327,1850948651
201704,臺灣,住,其他,377575,2040119734
201704,臺灣,行,博士,153151,173522429
201704,臺灣,行,碩士,1497228,1551885081
201704,臺灣,行,大學,5084407,4673582776
201704,臺灣,行,專科,2214530,2039610382
201704,臺灣,行,高中高職,3066643,2893435798
201704,臺灣,行,其他,3180911,3036166117
201704,臺灣,文教康樂,博士,43832,289300552
201704,臺灣,文教康樂,碩士,596553,2661753273
201704,臺灣,文教康樂,大學,2182889,8336159033
201704,臺灣,文教康樂,專科,633750,3105333538
201704,臺灣,文教康樂,高中高職,749130,3757050048
201704,臺灣,文教康樂,其他,962875,4655002989
201704,臺灣,百貨,博士,54031,151111299
201704,臺灣,百貨,碩士,678308,1918167712
201704,臺灣,百貨,大學,2478363,7092514862
201704,臺灣,百貨,專科,904241,2683005202
201704,臺灣,百貨,高中高職,1020602,3330111491
201704,臺灣,百貨,其他,1235892,3889021974
201704,臺灣,其他,博士,165644,558453471
201704,臺灣,其他,碩士,1993704,5688921325
201704,臺灣,其他,大學,7641714,21091942107
201704,臺灣,其他,專科,3026290,9956410827
201704,臺灣,其他,高中高職,3866762,12891664510
201704,臺灣,其他,其他,3230851,9967044300
201705,臺灣,食,博士,167455,191360014
201705,臺灣,食,碩士,1704601,1971654989
201705,臺灣,食,大學,5482533,6409172052
201705,臺灣,食,專科,2412413,2699318243
201705,臺灣,食,高中高職,2796253,3420603871
201705,臺灣,食,其他,2827324,3518396326
201705,臺灣,衣,博士,12154,32655350
201705,臺灣,衣,碩士,195294,468750824
201705,臺灣,衣,大學,857091,2017148334
201705,臺灣,衣,專科,325379,809956093
201705,臺灣,衣,高中高職,419080,1098376816
201705,臺灣,衣,其他,430264,1112575415
201705,臺灣,住,博士,22037,102869142
201705,臺灣,住,碩士,237441,1139518780
201705,臺灣,住,大學,749468,3516249817
201705,臺灣,住,專科,287426,1417490240
201705,臺灣,住,高中高職,323851,1703653524
201705,臺灣,住,其他,370483,1955697943
201705,臺灣,行,博士,151839,174339243
201705,臺灣,行,碩士,1470227,1534975705
201705,臺灣,行,大學,4899460,4570543921
201705,臺灣,行,專科,2023072,1888620374
201705,臺灣,行,高中高職,2839746,2699944668
201705,臺灣,行,其他,2959950,2898920153
201705,臺灣,文教康樂,博士,44165,346061692
201705,臺灣,文教康樂,碩士,578027,3046425026
201705,臺灣,文教康樂,大學,2049536,9138398100
201705,臺灣,文教康樂,專科,601558,3435627792
201705,臺灣,文教康樂,高中高職,697822,4047320058
201705,臺灣,文教康樂,其他,900654,5051201958
201705,臺灣,百貨,博士,54640,148434110
201705,臺灣,百貨,碩士,687596,1827797262
201705,臺灣,百貨,大學,2498980,6574797580
201705,臺灣,百貨,專科,895489,2425638695
201705,臺灣,百貨,高中高職,1023071,3018320538
201705,臺灣,百貨,其他,1240557,3609510622
201705,臺灣,其他,博士,177767,3574207620
201705,臺灣,其他,碩士,2192303,21597921524
201705,臺灣,其他,大學,8349477,47524015118
201705,臺灣,其他,專科,3144858,17619460264
201705,臺灣,其他,高中高職,4020570,18052777402
201705,臺灣,其他,其他,3198387,24188990257
201706,臺灣,食,博士,153181,176640879
201706,臺灣,食,碩士,1549517,1750227991
201706,臺灣,食,大學,4960369,5732658010
201706,臺灣,食,專科,2161035,2439610460
201706,臺灣,食,高中高職,2548785,3106621147
201706,臺灣,食,其他,2387104,3102761333
201706,臺灣,衣,博士,10821,28320770
201706,臺灣,衣,碩士,178441,416318929
201706,臺灣,衣,大學,788753,1789996675
201706,臺灣,衣,專科,287182,704955058
201706,臺灣,衣,高中高職,365298,934323118
201706,臺灣,衣,其他,382969,957687806
201706,臺灣,住,博士,20725,99221220
201706,臺灣,住,碩士,214848,1042041558
201706,臺灣,住,大學,697229,3397674309
201706,臺灣,住,專科,274326,1387123866
201706,臺灣,住,高中高職,313335,1704738146
201706,臺灣,住,其他,349770,1885011895
201706,臺灣,行,博士,136887,168329207
201706,臺灣,行,碩士,1300346,1449546206
201706,臺灣,行,大學,4262519,4291831667
201706,臺灣,行,專科,1655670,1673301933
201706,臺灣,行,高中高職,2354169,2369070952
201706,臺灣,行,其他,2446833,2564556715
201706,臺灣,文教康樂,博士,43467,393570953
201706,臺灣,文教康樂,碩士,569879,3198585751
201706,臺灣,文教康樂,大學,2035335,9189506533
201706,臺灣,文教康樂,專科,573431,3378683737
201706,臺灣,文教康樂,高中高職,667250,3764985680
201706,臺灣,文教康樂,其他,860423,4964076304
201706,臺灣,百貨,博士,51021,131808414
201706,臺灣,百貨,碩士,632984,1531081955
201706,臺灣,百貨,大學,2295672,5486032176
201706,臺灣,百貨,專科,828539,2082491122
201706,臺灣,百貨,高中高職,930961,2484929572
201706,臺灣,百貨,其他,1118048,2968784152
201706,臺灣,其他,博士,144810,817159496
201706,臺灣,其他,碩士,1910132,7117121966
201706,臺灣,其他,大學,7305822,23640821586
201706,臺灣,其他,專科,2799576,11185883091
201706,臺灣,其他,高中高職,3670409,14185942009
201706,臺灣,其他,其他,2739208,10821552382
201707,臺灣,食,博士,173040,195101527
201707,臺灣,食,碩士,1797581,1963519616
201707,臺灣,食,大學,5698697,6433493612
201707,臺灣,食,專科,2481805,2749227550
201707,臺灣,食,高中高職,2911014,3461126007
201707,臺灣,食,其他,2671345,3389557344
201707,臺灣,衣,博士,12977,33965446
201707,臺灣,衣,碩士,200904,449339303
201707,臺灣,衣,大學,858550,1878336091
201707,臺灣,衣,專科,321260,751319850
201707,臺灣,衣,高中高職,404094,988468921
201707,臺灣,衣,其他,412503,992884727
201707,臺灣,住,博士,26398,129076272
201707,臺灣,住,碩士,270374,1303814737
201707,臺灣,住,大學,846062,4086716964
201707,臺灣,住,專科,338102,1698742450
201707,臺灣,住,高中高職,372755,2021116236
201707,臺灣,住,其他,412114,2174405145
201707,臺灣,行,博士,140502,167384684
201707,臺灣,行,碩士,1401382,1501135974
201707,臺灣,行,大學,4582304,4413620629
201707,臺灣,行,專科,1786001,1754859992
201707,臺灣,行,高中高職,2539645,2487037441
201707,臺灣,行,其他,2590462,2611814843
201707,臺灣,文教康樂,博士,47285,360614610
201707,臺灣,文教康樂,碩士,623050,3111392869
201707,臺灣,文教康樂,大學,2165697,8969072489
201707,臺灣,文教康樂,專科,631489,3293923678
201707,臺灣,文教康樂,高中高職,710012,3536972698
201707,臺灣,文教康樂,其他,906206,4595829594
201707,臺灣,百貨,博士,58679,162746453
201707,臺灣,百貨,碩士,722997,1732880609
201707,臺灣,百貨,大學,2574547,6226857489
201707,臺灣,百貨,專科,937603,2314922991
201707,臺灣,百貨,高中高職,1034784,2767823752
201707,臺灣,百貨,其他,1229282,3188281084
201707,臺灣,其他,博士,157225,620297584
201707,臺灣,其他,碩士,2098949,6301068953
201707,臺灣,其他,大學,7757180,22639892862
201707,臺灣,其他,專科,2904148,10347990239
201707,臺灣,其他,高中高職,3813102,13591144698
201707,臺灣,其他,其他,2808737,9617175524
201708,臺灣,食,博士,172928,198734180
201708,臺灣,食,碩士,1804259,2075307517
201708,臺灣,食,大學,5803140,6936238218
201708,臺灣,食,專科,2524151,2981150107
201708,臺灣,食,高中高職,2996172,3835323266
201708,臺灣,食,其他,2756176,3689384528
201708,臺灣,衣,博士,11459,28647092
201708,臺灣,衣,碩士,181484,405019962
201708,臺灣,衣,大學,786970,1716635154
201708,臺灣,衣,專科,299239,697970280
201708,臺灣,衣,高中高職,386084,948413961
201708,臺灣,衣,其他,384917,931052156
201708,臺灣,住,博士,26725,127947029
201708,臺灣,住,碩士,274762,1257356196
201708,臺灣,住,大學,857016,3915951152
201708,臺灣,住,專科,342676,1629472394
201708,臺灣,住,高中高職,372039,1891912697
201708,臺灣,住,其他,419995,2130797169
201708,臺灣,行,博士,144770,172457760
201708,臺灣,行,碩士,1462509,1590781477
201708,臺灣,行,大學,4753800,4664821555
201708,臺灣,行,專科,1823478,1819842102
201708,臺灣,行,高中高職,2575042,2558109334
201708,臺灣,行,其他,2648962,2718294096
201708,臺灣,文教康樂,博士,48815,407141668
201708,臺灣,文教康樂,碩士,627018,3429238234
201708,臺灣,文教康樂,大學,2173839,10183859313
201708,臺灣,文教康樂,專科,653996,4047485562
201708,臺灣,文教康樂,高中高職,731403,4285785553
201708,臺灣,文教康樂,其他,932620,5197357455
201708,臺灣,百貨,博士,55444,135926413
201708,臺灣,百貨,碩士,688527,1636643558
201708,臺灣,百貨,大學,2476701,5787314875
201708,臺灣,百貨,專科,892965,2152166744
201708,臺灣,百貨,高中高職,996268,2531918993
201708,臺灣,百貨,其他,1197805,3022059612
201708,臺灣,其他,博士,155745,696351581
201708,臺灣,其他,碩士,2033063,6273005062
201708,臺灣,其他,大學,7824927,23488624374
201708,臺灣,其他,專科,2964730,10935567611
201708,臺灣,其他,高中高職,3842588,13966441459
201708,臺灣,其他,其他,2870920,10103694082
201709,臺灣,食,博士,160611,185768250
201709,臺灣,食,碩士,1684108,1923856574
201709,臺灣,食,大學,5364565,6434279835
201709,臺灣,食,專科,2322655,2767915738
201709,臺灣,食,高中高職,2753553,3563736048
201709,臺灣,食,其他,2537337,3437705216
201709,臺灣,衣,博士,9856,27490211
201709,臺灣,衣,碩士,161709,398956770
201709,臺灣,衣,大學,704779,1700000249
201709,臺灣,衣,專科,259523,657719999
201709,臺灣,衣,高中高職,337001,892311581
201709,臺灣,衣,其他,344420,914857255
201709,臺灣,住,博士,21763,100383253
201709,臺灣,住,碩士,229875,1063914108
201709,臺灣,住,大學,736698,3425706342
201709,臺灣,住,專科,288615,1392431107
201709,臺灣,住,高中高職,321939,1622988969
201709,臺灣,住,其他,365747,1876184953
201709,臺灣,行,博士,141405,168729769
201709,臺灣,行,碩士,1399174,1528493363
201709,臺灣,行,大學,4556083,4488430046
201709,臺灣,行,專科,1739993,1749118388
201709,臺灣,行,高中高職,2467858,2483721435
201709,臺灣,行,其他,2552986,2642340950
201709,臺灣,文教康樂,博士,44843,336874577
201709,臺灣,文教康樂,碩士,597479,3131823044
201709,臺灣,文教康樂,大學,2109551,9845498800
201709,臺灣,文教康樂,專科,613201,3894387175
201709,臺灣,文教康樂,高中高職,696522,4398150983
201709,臺灣,文教康樂,其他,895527,5080119774
201709,臺灣,百貨,博士,48723,137280490
201709,臺灣,百貨,碩士,611967,1696351690
201709,臺灣,百貨,大學,2231420,6238187359
201709,臺灣,百貨,專科,792585,2349412806
201709,臺灣,百貨,高中高職,891639,2844966898
201709,臺灣,百貨,其他,1055701,3240574777
201709,臺灣,其他,博士,148117,654029434
201709,臺灣,其他,碩士,1957157,6285689636
201709,臺灣,其他,大學,7627513,23610215827
201709,臺灣,其他,專科,2816164,10741426383
201709,臺灣,其他,高中高職,3679205,13914734134
201709,臺灣,其他,其他,2798221,10303119740
201710,臺灣,食,博士,171253,195551671
201710,臺灣,食,碩士,1791252,2020085125
201710,臺灣,食,大學,5641888,6583455214
201710,臺灣,食,專科,2392168,2736047128
201710,臺灣,食,高中高職,2782655,3430773967
201710,臺灣,食,其他,2622956,3449775786
201710,臺灣,衣,博士,11844,32824450
201710,臺灣,衣,碩士,191361,472584318
201710,臺灣,衣,大學,832348,2006598249
201710,臺灣,衣,專科,301517,779211246
201710,臺灣,衣,高中高職,391982,1057635401
201710,臺灣,衣,其他,403053,1063884532
201710,臺灣,住,博士,24444,116877570
201710,臺灣,住,碩士,270321,1342687541
201710,臺灣,住,大學,831455,4078517701
201710,臺灣,住,專科,320454,1597369830
201710,臺灣,住,高中高職,352577,1832586571
201710,臺灣,住,其他,399864,2206439817
201710,臺灣,行,博士,147681,181355156
201710,臺灣,行,碩士,1433813,1685468413
201710,臺灣,行,大學,4699877,4897124270
201710,臺灣,行,專科,1782780,1859326494
201710,臺灣,行,高中高職,2561630,2653332914
201710,臺灣,行,其他,2644946,2862383298
201710,臺灣,文教康樂,博士,45495,279382125
201710,臺灣,文教康樂,碩士,621787,2762026309
201710,臺灣,文教康樂,大學,2196364,8833337626
201710,臺灣,文教康樂,專科,616860,3182934041
201710,臺灣,文教康樂,高中高職,719864,3892531583
201710,臺灣,文教康樂,其他,933839,4683608168
201710,臺灣,百貨,博士,62148,203606312
201710,臺灣,百貨,碩士,810391,2657742313
201710,臺灣,百貨,大學,3011550,9899903002
201710,臺灣,百貨,專科,1071999,3647445147
201710,臺灣,百貨,高中高職,1210485,4487975046
201710,臺灣,百貨,其他,1416460,4908030964
201710,臺灣,其他,博士,154958,562063493
201710,臺灣,其他,碩士,2129592,5911577825
201710,臺灣,其他,大學,7855013,21862092902
201710,臺灣,其他,專科,2848093,9652813991
201710,臺灣,其他,高中高職,3799227,12895140038
201710,臺灣,其他,其他,2927335,9601015303
201711,臺灣,食,博士,158722,183795325
201711,臺灣,食,碩士,1682837,1864647885
201711,臺灣,食,大學,5363585,6102117002
201711,臺灣,食,專科,2241267,2518299213
201711,臺灣,食,高中高職,2615690,3175141518
201711,臺灣,食,其他,2536040,3250236338
201711,臺灣,衣,博士,10750,30484453
201711,臺灣,衣,碩士,181938,482388165
201711,臺灣,衣,大學,803216,2092497078
201711,臺灣,衣,專科,289395,812165179
201711,臺灣,衣,高中高職,375942,1112457168
201711,臺灣,衣,其他,396104,1127491519
201711,臺灣,住,博士,23862,113149934
201711,臺灣,住,碩士,258958,1290246761
201711,臺灣,住,大學,817803,3992705364
201711,臺灣,住,專科,317173,1566862137
201711,臺灣,住,高中高職,344359,1785852277
201711,臺灣,住,其他,389491,2162481176
201711,臺灣,行,博士,146835,176376891
201711,臺灣,行,碩士,1406228,1590898779
201711,臺灣,行,大學,4602761,4677977710
201711,臺灣,行,專科,1732734,1811065744
201711,臺灣,行,高中高職,2485012,2631795303
201711,臺灣,行,其他,2599318,2784253372
201711,臺灣,文教康樂,博士,43011,281826904
201711,臺灣,文教康樂,碩士,576662,2717731702
201711,臺灣,文教康樂,大學,2018827,8281312354
201711,臺灣,文教康樂,專科,581595,2956812048
201711,臺灣,文教康樂,高中高職,671036,3511050120
201711,臺灣,文教康樂,其他,887646,4486051974
201711,臺灣,百貨,博士,61513,228125999
201711,臺灣,百貨,碩士,782955,2651584481
201711,臺灣,百貨,大學,2927156,9829310349
201711,臺灣,百貨,專科,1043364,3558373371
201711,臺灣,百貨,高中高職,1203149,4376868350
201711,臺灣,百貨,其他,1430500,5368301297
201711,臺灣,其他,博士,161656,698509441
201711,臺灣,其他,碩士,2224186,7058509245
201711,臺灣,其他,大學,8282021,25811861284
201711,臺灣,其他,專科,2985454,11417462143
201711,臺灣,其他,高中高職,3942000,15165386504
201711,臺灣,其他,其他,3154994,11698540048
201712,臺灣,食,博士,176405,215368356
201712,臺灣,食,碩士,1884545,2221515502
201712,臺灣,食,大學,5939580,7007735165
201712,臺灣,食,專科,2409775,2795856996
201712,臺灣,食,高中高職,2795075,3452178212
201712,臺灣,食,其他,2776065,3631408892
201712,臺灣,衣,博士,13750,40308473
201712,臺灣,衣,碩士,231318,612427318
201712,臺灣,衣,大學,1012668,2612466721
201712,臺灣,衣,專科,371043,1028952198
201712,臺灣,衣,高中高職,479588,1375329526
201712,臺灣,衣,其他,503934,1408595161
201712,臺灣,住,博士,27009,134340361
201712,臺灣,住,碩士,286479,1393203289
201712,臺灣,住,大學,881457,4188245821
201712,臺灣,住,專科,331865,1602138011
201712,臺灣,住,高中高職,364650,1814362855
201712,臺灣,住,其他,427127,2265721438
201712,臺灣,行,博士,150719,187509106
201712,臺灣,行,碩士,1492304,1727696437
201712,臺灣,行,大學,4934533,5161772272
201712,臺灣,行,專科,1843760,1989752972
201712,臺灣,行,高中高職,2659762,2857784535
201712,臺灣,行,其他,2782673,3041125520
201712,臺灣,文教康樂,博士,46931,276882638
201712,臺灣,文教康樂,碩士,650183,2707633802
201712,臺灣,文教康樂,大學,2231275,8098781274
201712,臺灣,文教康樂,專科,620539,2795368393
201712,臺灣,文教康樂,高中高職,705500,3272492308
201712,臺灣,文教康樂,其他,970772,4243838227
201712,臺灣,百貨,博士,63157,200708940
201712,臺灣,百貨,碩士,826110,2233381110
201712,臺灣,百貨,大學,2955355,7919179675
201712,臺灣,百貨,專科,1031760,2825226739
